epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,954.839,0.64855,0.94964,1.03995,0.7111,0.58709,0.61758,0.53221,0.73886,0.98858,1.14106,0.000848969,0.000848969,0.000848969
43,976.302,0.61888,0.88362,1.03013,0.60671,0.55738,0.64126,0.54546,0.70941,1.01722,1.12195,0.000834822,0.000834822,0.000834822
44,997.806,0.58801,0.83146,0.9983,0.69528,0.5432,0.61274,0.51884,0.68369,1.05305,1.09249,0.000820675,0.000820675,0.000820675
45,1019.05,0.62068,0.93456,1.03702,0.7205,0.54513,0.62228,0.52656,0.69259,1.01395,1.14207,0.000806528,0.000806528,0.000806528
46,1040.7,0.623,0.88223,1.02545,0.87167,0.52515,0.6435,0.53435,0.73641,1.01973,1.12576,0.00079238,0.00079238,0.00079238
47,1061.95,0.66087,0.94802,1.06463,0.78436,0.53514,0.62471,0.52129,0.73798,1.12104,1.12654,0.000778233,0.000778233,0.000778233
48,1083.44,0.58886,0.84014,1.01171,0.74404,0.5432,0.65826,0.56946,0.71801,1.00185,1.10268,0.000764086,0.000764086,0.000764086
49,1105.62,0.59047,0.83403,1.00707,0.77521,0.5115,0.64263,0.56863,0.66576,0.97953,1.04977,0.000749939,0.000749939,0.000749939
50,1127.72,0.58846,0.81204,1.02755,0.64575,0.60125,0.62217,0.5269,0.66434,1.012,1.04566,0.000735792,0.000735792,0.000735792
51,1149.23,0.57403,0.78631,1.01612,0.67816,0.66734,0.64579,0.54674,0.67215,0.9345,1.07309,0.000721645,0.000721645,0.000721645
52,1170.85,0.554,0.75713,0.99561,0.73924,0.60949,0.66422,0.55401,0.69383,1.03211,1.09109,0.000707498,0.000707498,0.000707498
53,1192.23,0.57896,0.76086,1.01812,0.77849,0.59668,0.63836,0.54157,0.68461,0.96002,1.09756,0.000693351,0.000693351,0.000693351
54,1213.63,0.59911,0.82801,1.02912,0.77254,0.55835,0.64723,0.53364,0.65748,0.95414,1.07653,0.000679204,0.000679204,0.000679204
